月份,失业人数(千人，未经季调),失业率(%)
2015年6月,"8,638",5.5
2015年5月,"8,370",5.3
2015年4月,"7,966",5.1
2015年3月,"8,682",5.6
2015年2月,"9,095",5.8
2015年1月,"9,498",6.1
2014年12月,"8,331",5.4
2014年11月,"8,630",5.5
2014年10月,"8,680",5.5
2014年9月,"8,962",5.7
2014年8月,"9,787",6.3
2014年7月,"10,307",6.5
2014年6月,"9,893",6.3
2014年5月,"9,443",6.1
2014年4月,"9,079",5.9
2014年3月,"10,537",6.8
2014年2月,"10,893",7
2014年1月,"10,855",7
2013年12月,"9,984",6.5
2013年11月,"10,271",6.6
2013年10月,"10,773",7
2013年9月,"10,885",7
2013年8月,"11,462",7.3
2013年7月,"12,083",7.7
2013年6月,"12,248",7.8
2013年5月,"11,302",7.3
2013年4月,"11,014",7.1
2013年3月,"11,815",7.6
2013年2月,"12,500",8.1
2013年1月,"13,181",8.5
2012年12月,"11,844",7.6
2012年11月,"11,404",7.4
2012年10月,"11,741",7.5
2012年9月,"11,742",7.6
2012年8月,"12,696",8.2
2012年7月,"13,400",8.6
2012年6月,"13,184",8.4
2012年5月,"12,271",7.9
2012年4月,"11,910",7.7
2012年3月,"12,904",8.4
2012年2月,"13,430",8.7
2012年1月,"13,541",8.8
2011年12月,"12,692",8.3
2011年11月,"12,613",8.2
2011年10月,"13,102",8.5
2011年9月,"13,520",8.8
2011年8月,"14,008",9.1
2011年7月,"14,428",9.3
2011年6月,"14,409",9.3
2011年5月,"13,421",8.7
2011年4月,"13,237",8.7
2011年3月,"14,060",9.2
2011年2月,"14,542",9.5
2011年1月,"14,937",9.8
2010年12月,"13,997",9.1
2010年11月,"14,282",9.3
2010年10月,"13,903",9
2010年9月,"14,140",9.2
2010年8月,"14,759",9.5
2010年7月,"15,137",9.7
2010年6月,"14,885",9.6
2010年5月,"14,369",9.3
2010年4月,"14,609",9.5
2010年3月,"15,678",10.2
2010年2月,"15,991",10.4
2010年1月,"16,147",10.6
2009年12月,"14,740",9.7
2009年11月,"14,407",9.4
2009年10月,"14,547",9.5
2009年9月,"14,538",9.5
2009年8月,"14,823",9.6
2009年7月,"15,201",9.7
2009年6月,"15,095",9.7
2009年5月,"13,973",9.1
2009年4月,"13,248",8.6
2009年3月,"13,895",9
2009年2月,"13,699",8.9
2009年1月,"13,009",8.5
2008年12月,"10,999",7.1
2008年11月,"10,015",6.5
2008年10月,"9,469",6.1
2008年9月,"9,199",6
2008年8月,"9,479",6.1
2008年7月,"9,433",6
2008年6月,"8,933",5.7
2008年5月,"8,076",5.2
2008年4月,"7,287",4.8
2008年3月,"8,027",5.2
2008年2月,"7,953",5.2
2008年1月,"8,221",5.4
2007年12月,"7,371",4.8
2007年11月,"6,917",4.5
2007年10月,"6,773",4.4
2007年9月,"6,952",4.5
2007年8月,"7,088",4.6
2007年7月,"7,556",4.9
2007年6月,"7,295",4.7
2007年5月,"6,486",4.3
2007年4月,"6,532",4.3
2007年3月,"6,913",4.5
2007年2月,"7,400",4.9
2007年1月,"7,649",5
2006年12月,"6,491",4.3
2006年11月,"6,576",4.3
2006年10月,"6,272",4.1
2006年9月,"6,625",4.4
2006年8月,"7,086",4.6
2006年7月,"7,602",5
2006年6月,"7,341",4.8
2006年5月,"6,655",4.4
2006年4月,"6,804",4.5
2006年3月,"7,255",4.8
2006年2月,"7,692",5.1
2006年1月,"7,608",5.1
2005年12月,"6,956",4.6
2005年11月,"7,271",4.8
2005年10月,"6,964",4.6
2005年9月,"7,259",4.8
2005年8月,"7,327",4.9
2005年7月,"7,839",5.2
2005年6月,"7,870",5.2
2005年5月,"7,287",4.9
2005年4月,"7,335",4.9
2005年3月,"7,986",5.4
2005年2月,"8,549",5.8
2005年1月,"8,444",5.7
2004年12月,"7,599",5.1
2004年11月,"7,665",5.2
2004年10月,"7,531",5.1
2004年9月,"7,545",5.1
2004年8月,"7,940",5.4
2004年7月,"8,518",5.7
2004年6月,"8,616",5.8
2004年5月,"7,792",5.3
2004年4月,"7,837",5.4
2004年3月,"8,834",6
2004年2月,"8,770",6
2004年1月,"9,144",6.3
2003年12月,"7,945",5.4
2003年11月,"8,269",5.6
2003年10月,"8,169",5.6
2003年9月,"8,436",5.8
2003年8月,"8,830",6
2003年7月,"9,319",6.3
2003年6月,"9,649",6.5
2003年5月,"8,500",5.8
2003年4月,"8,501",5.8
2003年3月,"9,018",6.2
2003年2月,"9,260",6.4
2003年1月,"9,395",6.5
2002年12月,"8,209",5.7
2002年11月,"8,170",5.6
2002年10月,"7,769",5.3
2002年9月,"7,790",5.4
2002年8月,"8,271",5.7
2002年7月,"8,693",5.9
2002年6月,"8,758",6
2002年5月,"7,969",5.5
2002年4月,"8,255",5.7
2002年3月,"8,776",6.1
2002年2月,"8,823",6.1
2002年1月,"9,051",6.3
